CNTY,COMMON,INTSITE,SP_CODE,ST,YEAR,ab1nd,ab1ndpse,ab1ndse,ab1ndv,ab1ns,angs,c,hrsfs,month,name,s,site
111,"BARRED SURFPERCH",200,"8835600702",6,1980,0.2095238095,100,0.2095238095,0.0439002268,4.4,21,"111",50.5,1,"Mandalay Beach","200","111 200 Mandalay Beach",
111,"CABEZON",209,"8831023101",6,1980,0.0322580645,100,0.0322580645,0.0010405827,1,33,"111",71,1,"Solimar","209","111 209 Solimar",
111,"SURFPERCH FAMILY",209,"8835600000",6,1980,0.064516129,100,0.064516129,0.0041623309,2,33,"111",71,1,"Solimar","209","111 209 Solimar",
111,"RUBBERLIP SEAPERCH",209,"8835600602",6,1980,0.0967741935,100,0.0967741935,0.0093652445,3,33,"111",71,1,"Solimar","209","111 209 Solimar",
111,"SURFPERCH FAMILY",301,"8835600000",6,1980,2,.,.,0,2,1,"111",3,1,"No Name","301","111 301 No Name",
111,"WALLEYE SURFPERCH",302,"8835600401",6,1980,0.1428571429,100,0.1428571429,0.0204081633,1,7,"111",8.5,1,"Ventura Pier","302","111 302 Ventura Pier",
111,"JACKSMELT",303,"8805020601",6,1980,0.012195122,100,0.012195122,0.000148721,1,88,"111",249,1,"Ormond Beach Pier","303","111 303 Ormond Beach Pier",
111,"WHITE CROAKER",303,"8835440201",6,1980,0.143902439,49.968336661,0.0719056552,0.0051704232,11.8,88,"111",249,1,"Ormond Beach Pier","303","111 303 Ormond Beach Pier",
111,"WALLEYE SURFPERCH",303,"8835600401",6,1980,0.112195122,51.769771303,0.058083158,0.0033736532,9.2,88,"111",249,1,"Ormond Beach Pier","303","111 303 Ormond Beach Pier",
111,"BARRED SURFPERCH",303,"8835600702",6,1980,0.0609756098,82.222222222,0.0501355014,0.0025135685,5,88,"111",249,1,"Ormond Beach Pier","303","111 303 Ormond Beach Pier",
111,"WHITE CROAKER",307,"8835440201",6,1980,0.05,100,0.05,0.0025,1.3,28,"111",69.5,1,"Pt. Hueneme East Jetty","307","111 307 Pt. Hueneme East J",
111,"OLIVE ROCKFISH",200,"8826010158",6,1984,0.1866028708,100,0.1866028708,0.0348206314,3.5454545455,19,"111",55,1,"Mandalay Beach","200","111 200 Mandalay Beach",
111,"BARRED SURFPERCH",200,"8835600702",6,1984,1.1152882206,37.436475674,0.4175246034,0.1743267944,21.19047619,19,"111",55,1,"Mandalay Beach","200","111 200 Mandalay Beach",
111,"BARRED SURFPERCH",209,"8835600702",6,1984,0.2285714286,69.970231766,0.1599319583,0.0255782313,4.8,21,"111",80.5,1,"Solimar","209","111 209 Solimar",
111,"JACKSMELT",302,"8805020601",6,1984,0.6545454545,47.814360177,0.3129667212,0.0979481686,36,55,"111",214,1,"Ventura Pier","302","111 302 Ventura Pier",
111,"WHITE CROAKER",302,"8835440201",6,1984,1.0545454545,24.142871841,0.2545975576,0.0648199163,58,55,"111",214,1,"Ventura Pier","302","111 302 Ventura Pier",
111,"WALLEYE SURFPERCH",302,"8835600401",6,1984,0.6363636364,40.031166996,0.25474379,0.0648943985,35,55,"111",214,1,"Ventura Pier","302","111 302 Ventura Pier",
111,"BARRED SURFPERCH",302,"8835600702",6,1984,0.0909090909,50.51585743,0.0459235068,0.0021089685,5,55,"111",214,1,"Ventura Pier","302","111 302 Ventura Pier",
111,"CALICO SURFPERCH",302,"8835600703",6,1984,0.0181818182,70.052890072,0.0127368891,0.0001622283,1,55,"111",214,1,"Ventura Pier","302","111 302 Ventura Pier",
111,"JACKSMELT",303,"8805020601",6,1984,0.0416666667,69.156407481,0.0288151698,0.000830314,1,24,"111",83,1,"Ormond Beach Pier","303","111 303 Ormond Beach Pier",
111,"CHUB (PACIFIC) MACKEREL",303,"8850030301",6,1984,0.3333333333,54.04808648,0.1801602883,0.0324577295,8,24,"111",83,1,"Ormond Beach Pier","303","111 303 Ormond Beach Pier",
111,"JACKSMELT",306,"8805020601",6,1984,0.4285714286,64.549722437,0.2766416676,0.0765306122,3,7,"111",20.5,1,"Channel Islands Harbor South Jetty","306","111 306 Channel Islands Ha",
111,"WHITE CROAKER",306,"8835440201",6,1984,0.8571428571,39.674602381,0.3400680204,0.1156462585,6,7,"111",20.5,1,"Channel Islands Harbor South Jetty","306","111 306 Channel Islands Ha",
